NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,Input_#2_Key,Count,Fire Count per Year,Fire Count 6 years,Avg_Pop__Densi,Avg_Income___T,Avg_Income___2,Avg_Income___3,Avg_Housing___,Avg_Education_
Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,Caserne 03 Grid0_0,Caserne 03 Grid0_0,10,2,10,11430.1071428571,898.214285714286,100,71.55,561.785714285714,890.714285714286
Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,14,2,14,11581.67,675,100,67.62,399,676.5
Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_0,Caserne 03 Grid1_0,Caserne 03 Grid1_0,35,6,35,5239.475,1881.66666666667,100,87.5,1285,1873.33333333333
Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid1_1,Caserne 03 Grid1_1,,,,,4877.6,1205,100,83.2,790,1212.5
Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid2_0,Caserne 03 Grid2_0,,,,,0,,,,,
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_1,Caserne 04 Grid0_1,,,,,859.35,1487.5,100,76.5,842.5,1425
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid0_2,Caserne 04 Grid0_2,,,,,958.666666666667,1173.33333333333,100,72.3333333333333,640,1130
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid1_0,Caserne 04 Grid1_0,Caserne 04 Grid1_0,16,3,16,4532.41666666667,1032.5,100,72.4833333333333,559.166666666667,1010
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid1_1,Caserne 04 Grid1_1,Caserne 04 Grid1_1,6,1,6,3088.81666666667,832.5,100,65.3833333333333,452.5,801.666666666667
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid1_2,Caserne 04 Grid1_2,,,,,4430.61666666667,725.833333333333,100,56.9166666666667,377.5,710
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid2_0,Caserne 04 Grid2_0,Caserne 04 Grid2_0,29,5,29,15693.64,635.25,100,67.32,315.5,634.5
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid2_1,Caserne 04 Grid2_1,Caserne 04 Grid2_1,24,4,24,12434.8958333333,520.416666666667,100,65.25,258.125,521.458333333333
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid2_2,Caserne 04 Grid2_2,Caserne 04 Grid2_2,4,1,4,9854.08,405,100,69.28,191,427
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid3_0,Caserne 04 Grid3_0,Caserne 04 Grid3_0,13,2,13,20819.1117647059,470.294117647059,100,67.46875,209.705882352941,469.117647058824
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid3_1,Caserne 04 Grid3_1,Caserne 04 Grid3_1,41,7,41,16562.62,439.833333333333,100,67.7233333333333,218.666666666667,445.666666666667
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid3_2,Caserne 04 Grid3_2,Caserne 04 Grid3_2,16,3,16,12726.925,443.333333333333,100,67.7083333333333,240.416666666667,435.833333333333
Caserne 04,4,357,5.474798,-73.648802,45.491405,Grid4_1,Caserne 04 Grid4_1,,,,,12609.3,540,100,70.6,262.5,535
Caserne 05,5,354,1.312419,-73.56527,45.511631,Grid0_0,Caserne 05 Grid0_0,Caserne 05 Grid0_0,45,8,45,13211.0076923077,552.692307692308,100,63.3538461538462,362.692307692308,560.769230769231
Caserne 05,5,354,1.312419,-73.56527,45.511631,Grid0_1,Caserne 05 Grid0_1,Caserne 05 Grid0_1,54,9,54,8557.01,809,100,65.1777777777778,533.5,833.5
Caserne 05,5,354,1.312419,-73.56527,45.511631,Grid0_2,Caserne 05 Grid0_2,Caserne 05 Grid0_2,1,0,1,3006,2300,100,79.9,1535,2430
Caserne 05,5,354,1.312419,-73.56527,45.511631,Grid1_0,Caserne 05 Grid1_0,Caserne 05 Grid1_0,18,3,18,13980.325,551.875,100,70.9,372.5,554.375
Caserne 05,5,354,1.312419,-73.56527,45.511631,Grid1_1,Caserne 05 Grid1_1,Caserne 05 Grid1_1,5,1,5,14662.85,812.5,100,77.2,555,782.5
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid0_0,Caserne 08 Grid0_0,Caserne 08 Grid0_0,2,0,2,297.4,522.5,100,68.5,262.5,485
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid0_1,Caserne 08 Grid0_1,Caserne 08 Grid0_1,7,1,7,386.1,586.25,100,69.775,267.5,565
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid0_2,Caserne 08 Grid0_2,,,,,105.1,602.5,100,67.55,290,580
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid1_0,Caserne 08 Grid1_0,Caserne 08 Grid1_0,1,0,1,327.15,522.5,100,75.275,246.25,497.5
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid1_1,Caserne 08 Grid1_1,,,,,73,485,100,71.8,260,450
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid1_2,Caserne 08 Grid1_2,Caserne 08 Grid1_2,4,1,4,354.7,618.333333333333,100,68.7333333333333,316.666666666667,600
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid2_0,Caserne 08 Grid2_0,Caserne 08 Grid2_0,1,0,1,123.15,437.5,100,76.8,212.5,415
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid2_1,Caserne 08 Grid2_1,Caserne 08 Grid2_1,1,0,1,73,485,100,71.8,260,450
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid2_2,Caserne 08 Grid2_2,,,,,73,485,100,71.8,260,450
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid2_3,Caserne 08 Grid2_3,,,,,2048.5,1160,100,75.3666666666667,603.333333333333,1121.66666666667
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid3_0,Caserne 08 Grid3_0,Caserne 08 Grid3_0,1,0,1,123.15,437.5,100,76.8,212.5,415
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid3_1,Caserne 08 Grid3_1,Caserne 08 Grid3_1,2,0,2,195.1,528.333333333333,100,74.3,263.333333333333,530
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid3_2,Caserne 08 Grid3_2,Caserne 08 Grid3_2,1,0,1,206,597.5,100,70.55,312.5,605
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid3_3,Caserne 08 Grid3_3,,,,,4492.06,904,100,73.22,472,887
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid4_1,Caserne 08 Grid4_1,Caserne 08 Grid4_1,21,4,21,3273.81428571429,492.142857142857,100,74.3,249.285714285714,485.714285714286
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid4_2,Caserne 08 Grid4_2,Caserne 08 Grid4_2,8,1,8,1936.13333333333,480,100,65.8666666666667,263.333333333333,491.666666666667
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid4_3,Caserne 08 Grid4_3,Caserne 08 Grid4_3,1,0,1,3268.13333333333,503.333333333333,100,64.3,285,505
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid4_4,Caserne 08 Grid4_4,Caserne 08 Grid4_4,3,1,3,3997.64,455,100,68.08,264,463
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid5_1,Caserne 08 Grid5_1,Caserne 08 Grid5_1,13,2,13,3768.81111111111,427.222222222222,100,66.6888888888889,253.333333333333,432.222222222222
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid5_2,Caserne 08 Grid5_2,Caserne 08 Grid5_2,9,2,9,2201,436.25,100,66.25,243.75,450
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid5_3,Caserne 08 Grid5_3,,,,,474.3,300,100,54.3,195,295
Caserne 08,8,326,12.334069,-73.528718,45.629366,Grid6_1,Caserne 08 Grid6_1,,,,,474.3,300,100,54.3,195,295
