,Key,year,quarter,Monthly_Sum_x,NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Avg_Pop__Densi,Avg_Income___T,Avg_Income___2,Avg_Income___3,Avg_Housing___,Avg_Education_,Crime_Count,Quarterly_Fire_Count,Quarterly_Fire_Sum
0,Caserne 03 Grid0_0,2015,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,32,32
1,Caserne 03 Grid0_0,2015,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,7.0,51,51
2,Caserne 03 Grid0_0,2015,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,58,58
3,Caserne 03 Grid0_0,2015,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,35,35
4,Caserne 03 Grid0_0,2016,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,10.0,48,48
5,Caserne 03 Grid0_0,2016,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,49,49
6,Caserne 03 Grid0_0,2016,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,8.0,52,52
7,Caserne 03 Grid0_0,2016,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,38,38
8,Caserne 03 Grid0_0,2017,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,47,47
9,Caserne 03 Grid0_0,2017,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,50,50
10,Caserne 03 Grid0_0,2017,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,10.0,62,62
11,Caserne 03 Grid0_0,2017,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,3.0,41,41
12,Caserne 03 Grid0_0,2018,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,55,55
13,Caserne 03 Grid0_0,2018,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,39,39
14,Caserne 03 Grid0_0,2018,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,50,50
15,Caserne 03 Grid0_0,2018,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,46,46
16,Caserne 03 Grid0_0,2019,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_0,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,36,36
