,Key,year,month,Sum_Count,Monthly_Sum
0,Caserne 03 Grid0_0,2015,1,13,Monthly_Sum
1,Caserne 03 Grid0_0,2015,2,8,Monthly_Sum
2,Caserne 03 Grid0_0,2015,3,11,Monthly_Sum
3,Caserne 03 Grid0_0,2015,4,21,Monthly_Sum
4,Caserne 03 Grid0_0,2015,5,10,Monthly_Sum
5,Caserne 03 Grid0_0,2015,6,20,Monthly_Sum
6,Caserne 03 Grid0_0,2015,7,27,Monthly_Sum
7,Caserne 03 Grid0_0,2015,8,17,Monthly_Sum
8,Caserne 03 Grid0_0,2015,9,14,Monthly_Sum
9,Caserne 03 Grid0_0,2015,10,16,Monthly_Sum
10,Caserne 03 Grid0_0,2015,11,10,Monthly_Sum
11,Caserne 03 Grid0_0,2015,12,9,Monthly_Sum
12,Caserne 03 Grid0_0,2016,1,13,Monthly_Sum
13,Caserne 03 Grid0_0,2016,2,13,Monthly_Sum
14,Caserne 03 Grid0_0,2016,3,22,Monthly_Sum
15,Caserne 03 Grid0_0,2016,4,17,Monthly_Sum
16,Caserne 03 Grid0_0,2016,5,15,Monthly_Sum
17,Caserne 03 Grid0_0,2016,6,17,Monthly_Sum
18,Caserne 03 Grid0_0,2016,7,13,Monthly_Sum
19,Caserne 03 Grid0_0,2016,8,21,Monthly_Sum
20,Caserne 03 Grid0_0,2016,9,18,Monthly_Sum
21,Caserne 03 Grid0_0,2016,10,9,Monthly_Sum
22,Caserne 03 Grid0_0,2016,11,15,Monthly_Sum
23,Caserne 03 Grid0_0,2016,12,14,Monthly_Sum
24,Caserne 03 Grid0_0,2017,1,15,Monthly_Sum
25,Caserne 03 Grid0_0,2017,2,14,Monthly_Sum
26,Caserne 03 Grid0_0,2017,3,18,Monthly_Sum
27,Caserne 03 Grid0_0,2017,4,11,Monthly_Sum
28,Caserne 03 Grid0_0,2017,5,16,Monthly_Sum
29,Caserne 03 Grid0_0,2017,6,23,Monthly_Sum
30,Caserne 03 Grid0_0,2017,7,23,Monthly_Sum
31,Caserne 03 Grid0_0,2017,8,19,Monthly_Sum
32,Caserne 03 Grid0_0,2017,9,20,Monthly_Sum
33,Caserne 03 Grid0_0,2017,10,16,Monthly_Sum
34,Caserne 03 Grid0_0,2017,11,11,Monthly_Sum
35,Caserne 03 Grid0_0,2017,12,14,Monthly_Sum
36,Caserne 03 Grid0_0,2018,1,18,Monthly_Sum
37,Caserne 03 Grid0_0,2018,2,18,Monthly_Sum
38,Caserne 03 Grid0_0,2018,3,19,Monthly_Sum
39,Caserne 03 Grid0_0,2018,4,12,Monthly_Sum
40,Caserne 03 Grid0_0,2018,5,12,Monthly_Sum
41,Caserne 03 Grid0_0,2018,6,15,Monthly_Sum
42,Caserne 03 Grid0_0,2018,7,20,Monthly_Sum
43,Caserne 03 Grid0_0,2018,8,17,Monthly_Sum
44,Caserne 03 Grid0_0,2018,9,13,Monthly_Sum
45,Caserne 03 Grid0_0,2018,10,18,Monthly_Sum
46,Caserne 03 Grid0_0,2018,11,16,Monthly_Sum
47,Caserne 03 Grid0_0,2018,12,12,Monthly_Sum
48,Caserne 03 Grid0_0,2019,1,15,Monthly_Sum
49,Caserne 03 Grid0_0,2019,2,9,Monthly_Sum
50,Caserne 03 Grid0_0,2019,3,12,Monthly_Sum
51,Caserne 03 Grid0_0,2019,4,11,Monthly_Sum
52,Caserne 03 Grid0_0,2019,5,14,Monthly_Sum
53,Caserne 03 Grid0_0,2019,6,16,Monthly_Sum
54,Caserne 03 Grid0_0,2019,7,23,Monthly_Sum
55,Caserne 03 Grid0_0,2019,8,22,Monthly_Sum
56,Caserne 03 Grid0_0,2019,9,19,Monthly_Sum
57,Caserne 03 Grid0_0,2019,10,22,Monthly_Sum
58,Caserne 03 Grid0_0,2019,11,14,Monthly_Sum
59,Caserne 03 Grid0_0,2019,12,15,Monthly_Sum
60,Caserne 03 Grid0_0,2020,1,26,Monthly_Sum
61,Caserne 03 Grid0_0,2020,2,15,Monthly_Sum
62,Caserne 03 Grid0_0,2020,3,21,Monthly_Sum
63,Caserne 03 Grid0_0,2020,4,4,Monthly_Sum
64,Caserne 03 Grid0_0,2020,5,5,Monthly_Sum
65,Caserne 03 Grid0_0,2020,6,1,Monthly_Sum
66,Caserne 03 Grid0_0,2020,7,8,Monthly_Sum
67,Caserne 03 Grid0_0,2020,8,11,Monthly_Sum
68,Caserne 03 Grid0_0,2020,9,7,Monthly_Sum
69,Caserne 03 Grid0_0,2020,10,8,Monthly_Sum
70,Caserne 03 Grid0_0,2020,11,9,Monthly_Sum
71,Caserne 03 Grid0_0,2020,12,10,Monthly_Sum
72,Caserne 03 Grid0_0,2021,1,11,Monthly_Sum
73,Caserne 03 Grid0_0,2021,2,15,Monthly_Sum
74,Caserne 03 Grid0_0,2021,3,17,Monthly_Sum
75,Caserne 03 Grid0_0,2021,4,8,Monthly_Sum
76,Caserne 03 Grid0_0,2021,5,10,Monthly_Sum
77,Caserne 03 Grid0_0,2021,6,7,Monthly_Sum
78,Caserne 03 Grid0_0,2021,7,16,Monthly_Sum
79,Caserne 03 Grid0_0,2021,8,16,Monthly_Sum
80,Caserne 03 Grid0_0,2021,9,4,Monthly_Sum
81,Caserne 03 Grid0_0,2021,10,16,Monthly_Sum
82,Caserne 03 Grid0_0,2021,11,7,Monthly_Sum
83,Caserne 03 Grid0_0,2021,12,16,Monthly_Sum
84,Caserne 03 Grid0_0,2022,1,18,Monthly_Sum
85,Caserne 03 Grid0_0,2022,2,8,Monthly_Sum
86,Caserne 03 Grid0_0,2022,3,12,Monthly_Sum
87,Caserne 03 Grid0_0,2022,4,11,Monthly_Sum
88,Caserne 03 Grid0_0,2022,5,16,Monthly_Sum
89,Caserne 03 Grid0_0,2022,6,9,Monthly_Sum
90,Caserne 03 Grid0_1,2015,1,10,Monthly_Sum
91,Caserne 03 Grid0_1,2015,2,14,Monthly_Sum
92,Caserne 03 Grid0_1,2015,3,7,Monthly_Sum
93,Caserne 03 Grid0_1,2015,4,6,Monthly_Sum
94,Caserne 03 Grid0_1,2015,5,17,Monthly_Sum
95,Caserne 03 Grid0_1,2015,6,10,Monthly_Sum
96,Caserne 03 Grid0_1,2015,7,7,Monthly_Sum
97,Caserne 03 Grid0_1,2015,8,14,Monthly_Sum
98,Caserne 03 Grid0_1,2015,9,16,Monthly_Sum
99,Caserne 03 Grid0_1,2015,10,9,Monthly_Sum
100,Caserne 03 Grid0_1,2015,11,11,Monthly_Sum
101,Caserne 03 Grid0_1,2015,12,11,Monthly_Sum
102,Caserne 03 Grid0_1,2016,1,14,Monthly_Sum
103,Caserne 03 Grid0_1,2016,2,9,Monthly_Sum
104,Caserne 03 Grid0_1,2016,3,15,Monthly_Sum
105,Caserne 03 Grid0_1,2016,4,17,Monthly_Sum
106,Caserne 03 Grid0_1,2016,5,17,Monthly_Sum
107,Caserne 03 Grid0_1,2016,6,12,Monthly_Sum
108,Caserne 03 Grid0_1,2016,7,14,Monthly_Sum
109,Caserne 03 Grid0_1,2016,8,11,Monthly_Sum
110,Caserne 03 Grid0_1,2016,9,11,Monthly_Sum
111,Caserne 03 Grid0_1,2016,10,18,Monthly_Sum
112,Caserne 03 Grid0_1,2016,11,19,Monthly_Sum
113,Caserne 03 Grid0_1,2016,12,12,Monthly_Sum
114,Caserne 03 Grid0_1,2017,1,11,Monthly_Sum
115,Caserne 03 Grid0_1,2017,2,5,Monthly_Sum
116,Caserne 03 Grid0_1,2017,3,8,Monthly_Sum
117,Caserne 03 Grid0_1,2017,4,12,Monthly_Sum
118,Caserne 03 Grid0_1,2017,5,7,Monthly_Sum
119,Caserne 03 Grid0_1,2017,6,15,Monthly_Sum
120,Caserne 03 Grid0_1,2017,7,12,Monthly_Sum
121,Caserne 03 Grid0_1,2017,8,10,Monthly_Sum
122,Caserne 03 Grid0_1,2017,9,7,Monthly_Sum
123,Caserne 03 Grid0_1,2017,10,7,Monthly_Sum
124,Caserne 03 Grid0_1,2017,11,16,Monthly_Sum
125,Caserne 03 Grid0_1,2017,12,10,Monthly_Sum
126,Caserne 03 Grid0_1,2018,1,16,Monthly_Sum
127,Caserne 03 Grid0_1,2018,2,10,Monthly_Sum
128,Caserne 03 Grid0_1,2018,3,15,Monthly_Sum
